created_at,Temperature,Humidity,PM 2.5,PM 10
2025-02-11T10:26:58+00:00,36.98,36.22,43.9,96.2
2025-02-11T10:27:16+00:00,36.94,36.22,44.3,97.7
2025-02-11T10:28:04+00:00,36.91,36.46,45.2,98.9
2025-02-11T10:28:20+00:00,36.93,36.55,46.7,96.7
2025-02-11T10:28:53+00:00,36.94,36.71,47.8,115.4
2025-02-11T10:30:55+00:00,36.87,37.06,47.7,150.8
2025-02-11T10:31:12+00:00,36.89,37.11,47.1,139.5
2025-02-11T10:31:37+00:00,36.86,37.04,48.1,132.5
2025-02-11T10:32:01+00:00,36.87,36.82,46.5,98.1
2025-02-11T10:33:07+00:00,36.82,36.25,43.3,64.9
2025-02-11T10:34:31+00:00,36.88,36.12,45.4,121.3
2025-02-11T10:35:09+00:00,36.95,36.07,46.7,132
2025-02-11T10:35:32+00:00,36.93,36.06,46.8,116.5
2025-02-11T10:35:48+00:00,36.91,36.17,46.2,112.7
2025-02-11T10:36:04+00:00,36.92,36.17,46.2,114.9
2025-02-11T10:36:24+00:00,36.94,36.09,45.7,107.7
2025-02-11T10:36:44+00:00,36.91,36.18,45.4,106.6
2025-02-11T10:37:33+00:00,36.89,36.21,44.8,85.2
2025-02-11T10:39:20+00:00,36.95,35.99,50.6,207
2025-02-11T10:39:37+00:00,36.94,36.1,50.3,178.7
2025-02-11T10:40:02+00:00,36.93,36.08,55.6,247.7
2025-02-11T10:40:21+00:00,36.93,36.1,53.1,228.8
2025-02-11T10:40:41+00:00,36.9,36.22,50.2,177.4
2025-02-11T10:40:58+00:00,36.86,36.29,47.3,151.7
2025-02-11T10:41:14+00:00,36.83,36.36,47.9,152.1
2025-02-11T10:41:48+00:00,36.79,36.44,47.1,117.9
2025-02-11T10:42:06+00:00,36.75,36.35,43.8,89.5
2025-02-11T10:42:32+00:00,36.69,36.38,43.2,78.1
2025-02-11T10:42:52+00:00,36.63,36.38,44.8,110
2025-02-11T10:43:12+00:00,36.59,36.45,46.9,145.6
2025-02-11T10:43:43+00:00,36.52,36.57,46,101.7
2025-02-11T10:44:01+00:00,36.46,36.66,46.1,97
2025-02-11T10:44:25+00:00,36.43,36.69,43,87.5
2025-02-11T10:44:45+00:00,36.37,36.66,44.9,84.9
2025-02-11T10:45:05+00:00,36.32,36.62,43.7,73.7
2025-02-11T10:45:25+00:00,36.23,36.62,43.8,74.6
2025-02-11T10:45:45+00:00,36.19,36.71,44.4,76.8
2025-02-11T10:46:04+00:00,36.14,36.77,44.4,75
2025-02-11T10:46:24+00:00,36.1,36.77,44.5,81.5
2025-02-11T10:46:44+00:00,36.05,36.78,45.9,101.9
2025-02-11T10:47:04+00:00,36.03,36.84,45.4,103.2
2025-02-11T10:47:20+00:00,35.97,36.88,44.4,92
2025-02-11T10:47:39+00:00,35.93,36.97,45.1,84.9
2025-02-11T10:47:59+00:00,35.89,36.99,46.2,110.8
2025-02-11T10:48:19+00:00,35.82,37.02,44.5,103.9
2025-02-11T10:48:38+00:00,35.79,36.95,43.3,79
2025-02-11T10:48:59+00:00,35.76,36.99,44,75.3
2025-02-11T10:49:19+00:00,35.7,37.02,43.9,72.3
2025-02-11T10:49:39+00:00,35.69,37.04,43.4,75
2025-02-11T10:50:00+00:00,35.67,37.16,45.5,80.5
2025-02-11T10:50:16+00:00,35.67,37.15,45.4,71.4
2025-02-11T10:50:32+00:00,35.62,37.21,44.1,68.6
2025-02-11T10:50:54+00:00,35.61,37.26,44.1,68.1
2025-02-11T10:51:16+00:00,35.59,37.29,42,69.7
2025-02-11T10:51:36+00:00,35.58,37.26,41.5,64.5
2025-02-11T10:51:56+00:00,35.58,37.31,42.6,65.3
2025-02-11T10:52:12+00:00,35.55,37.34,43.3,71.3
2025-02-11T10:52:32+00:00,35.54,37.45,44,77.2
2025-02-11T10:52:52+00:00,35.51,37.51,43.7,79.2
2025-02-11T10:53:12+00:00,35.5,37.52,43.6,77.7
2025-02-11T10:53:32+00:00,35.49,37.57,43.7,72.1
2025-02-11T10:53:51+00:00,35.49,37.58,43.3,72.7
2025-02-11T10:54:11+00:00,35.48,37.7,44.1,70.3
2025-02-11T10:54:31+00:00,35.46,37.77,43.5,64.4
2025-02-11T10:54:51+00:00,35.48,37.86,43.3,68.2
2025-02-11T10:55:10+00:00,35.46,37.92,43.6,71.5
2025-02-11T10:55:30+00:00,35.42,37.93,43.2,67.8
2025-02-11T10:55:50+00:00,35.45,37.97,41.8,66.6
2025-02-11T10:56:10+00:00,35.44,37.98,43.3,72.5
2025-02-11T10:56:26+00:00,35.43,38.03,43.7,73.6
2025-02-11T10:56:46+00:00,35.38,38.05,42.3,72.5
2025-02-11T10:57:06+00:00,35.38,38.07,42.1,69
2025-02-11T10:57:26+00:00,35.39,38.15,42.4,68.5
2025-02-11T10:57:46+00:00,35.36,38.09,43,65.3
2025-02-11T10:58:05+00:00,35.36,38.15,44.3,72.1
2025-02-11T10:58:25+00:00,35.36,38.15,43,73.8
2025-02-11T10:58:45+00:00,35.35,38.19,42.2,78.9
2025-02-11T10:59:05+00:00,35.33,38.24,42.8,86.5
2025-02-11T10:59:24+00:00,35.34,38.28,42.9,87.3
2025-02-11T10:59:44+00:00,35.33,38.39,45,83.2
2025-02-11T11:00:00+00:00,35.31,38.42,45,86.6
2025-02-11T11:00:20+00:00,35.29,38.48,44,78.1
2025-02-11T11:00:40+00:00,35.29,38.58,44.8,82
2025-02-11T11:01:04+00:00,35.28,38.64,45.2,81.3
2025-02-11T11:01:24+00:00,35.29,38.69,46.1,84.1
2025-02-11T11:01:43+00:00,35.29,38.71,43.8,87.9
2025-02-11T11:02:06+00:00,35.31,38.78,45,101.6
2025-02-11T11:02:26+00:00,35.33,38.7,45.2,89.9
2025-02-11T11:02:47+00:00,35.34,38.66,44.3,80.9
2025-02-11T11:03:03+00:00,35.34,38.68,43.4,84.1
